Code	Name	U_SYP_DESCONCEP
26	26	IFD donde Activo subyacente sea referido al Tipo de Cambio Moneda extranjera. 180 dias. (La Dom es la prestadora del IFD, la No Dom es la que obtiene el resultado)
27	27	Las obtenidas por la enajenación indirecta de acciones y participaciones representativas del capital de personas jurídicas domiciliadas en el país, cuando la operación cumple las condiciones para ser gravadas en el Perú
28	28	Se incluye dentro de la enajenación de de empresas no domiciliadas en el país la enajenación de ADR´s (American Depositary Receipts) que tengan como subyacente a tales acciones.
29	29	Sujeto es el No Dom que distribuye  por la reducción de capital dentro de los 12 meses anteriores cuando hubiera aumentado su capital como consecuencia de nuevos aportes, de capitalización de créditos o de una reorganización
30	30	Actividades de Seguros 7% sobre las primas.  Comisiones por  Reaseguros sobre personas y/o bienes radicados en el país
31	31	Alquiler de Naves, 8% sobre Ingresos Brutos que perciban por dicha actividad
32	32	Alquiler de Aeronaves, 60% sobre Ingresos Brutos que perciban por dicha actividad
33	33	1% por el ingresos brutos por el transporte aéreo.
34	34	Excepto Otros transportes no aereos o maritimos que van por los ingresos de la parte prestada en el país
35	35	2% por el ingresos brutos por fletamiento o transporte marítimo.
36	36	Empresas por reciprocidad en lineas extranjeras con sedes en esos países
37	37	Servicio portadores, teleservcios o finales, difusión y de valor añadido. Con excepcion de los Servicios Digitales según 4-A
38	38	10%. sobre las remuneraciones brutas que obtengan por el suministro de noticias y, en general material informativo o gráfico, a personas o entidades domiciliadas o que utilicen dicho material en el país.
39	39	para su utilización por personas naturales o jurídicas domiciliadas: 20% sobre los ingresos brutos que perciban por el uso de películas cinematográficas o para televisión, "video tape", radionovelas, discos fonográficos, historietas gráficas y cualquier otro medio similar de proyección, reproducción, transmisión o difusión de imágenes o sonidos.
40	40	en el país o desde el país al exterior y no presten el servicio de transporte 15% de los ingresos brutos que obtengan por dicho suministro.
41	41	80% de los ingresos brutos que obtengan por el exceso de estadía de contenedores.
42	42	20% de los ingresos brutos que obtengan los contribuyentes no domiciliados por la cesión de derechos para la retransmisión por televisión en el país de eventos en vivo realizados en el extranjero.
43	43	Extranjeros que ingresan al país y cuentas con las siguientes calidades especificas a prestar servicios
